,t,phi,omega,alpha,r,r-dot,r-dotdot
59,0.327777777777778,0.530062380677532,1.61377143118625,0.827838363184756,0.388403183050628,-0.135604935938679,-0.702629987217016
60,0.333333333333333,0.539039895106293,1.61862660359891,0.866021912997443,0.387638254567066,-0.13948934551488,-0.697395721058073
61,0.338888888888889,0.5480469883421,1.6237033756378,0.902426724321832,0.386851947145683,-0.143345010643656,-0.692155564756112
62,0.344444444444444,0.55708393622232,1.62899035890046,0.937039265132313,0.38604436561504,-0.147171918684912,-0.686908078699375
63,0.35,0.566154161203072,1.63447419768333,0.969874763241803,0.385215871816004,-0.15096926381837,-0.681653420776409
64,0.355555555555555,0.575256929467852,1.64014203587185,1.000979519255,0.384366760621644,-0.154736316899819,-0.676388146875588
65,0.361111111111111,0.584393232368237,1.64598422336158,1.03041133617054,0.383496891925912,-0.15847298543985,-0.671104801813668
66,0.366666666666666,0.593563585890053,1.651987014533,1.05824056556175,0.382606469602567,-0.162178754914368,-0.665799743626537
67,0.372222222222222,0.602768773215645,1.65813115583615,1.0845431030851,0.381695933810102,-0.165854058189018,-0.660469235245859
68,0.377777777777777,0.612009540791825,1.6644058430532,1.10938747131286,0.380765048376883,-0.169499296405395,-0.655103877496514
69,0.383333333333333,0.621286905422312,1.6708034907046,1.13285937165009,0.379814038322261,-0.173115020540209,-0.64969381909858
70,0.388888888888889,0.630600485491712,1.6773135364942,1.15506757374875,0.378843019434762,-0.176701728608506,-0.644232140114311
71,0.394444444444444,0.639951234183226,1.68392958967434,1.17612038790362,0.37785238161119,-0.180258266932486,-0.638713402044461
72,0.4,0.649341110519919,1.69063938560879,1.19612447045282,0.37684219865607,-0.183784314663901,-0.63313123334344
73,0.405555555555555,0.658769959617797,1.69743627331259,1.21519487131226,0.375812654454805,-0.187280524869352,-0.627477179405981
74,0.411111111111111,0.66823865405758,1.7043167562848,1.23345034049668,0.374763739227537,-0.190746455877132,-0.621741466522411
75,0.416666666666666,0.6777471895232,1.71127311754674,1.25102949173868,0.373695650580969,-0.194180525701777,-0.615914863449482
76,0.422222222222222,0.687294569799039,1.71829916393355,1.26809002703184,0.37260868958652,-0.197581877147625,-0.609988332604166
77,0.427777777777777,0.696881608044772,1.72539224217655,1.28477745358636,0.371502973207454,-0.200951243662654,-0.603949647281482
78,0.433333333333333,0.70650799486017,1.73255353598696,1.30122755873493,0.370378602043895,-0.20428802391156,-0.59778727004454
79,0.438888888888888,0.716175206845906,1.7397828096469,1.31758348004136,0.369235776530956,-0.207590804412296,-0.591494247051098
80,0.444444444444444,0.725883150648308,1.74708403383177,1.33399657280509,0.36807445787622,-0.210859984969658,-0.585063633384887
81,0.449999999999999,0.735631803251842,1.75445949422161,1.3506254485434,0.366894852172593,-0.214094606268381,-0.578487541229205
82,0.455555555555555,0.745419843734085,1.76190938149458,1.36763109342567,0.365697568151355,-0.217293738856732,-0.57175792833671
83,0.46111111111111,0.755247715687852,1.76943922399488,1.38515985335319,0.364482742654574,-0.220457285857315,-0.564862930097534
84,0.466666666666666,0.765115320487744,1.7770529538763,1.40333040246379,0.363250280811741,-0.223584216598046,-0.55778984318917
85,0.472222222222222,0.77502451453843,1.7847545929884,1.42226227235986,0.36200053410345,-0.226673126359489,-0.550531358892493
86,0.477777777777777,0.784973950486413,1.79255313630481,1.44208540315806,0.360733861794588,-0.229722627277973,-0.543080645022142
87,0.483333333333333,0.794965351013443,1.80045043575428,1.46291846766198,0.35945035557784,-0.232732472027067,-0.535426440009988
88,0.488888888888888,0.804997474962289,1.80845169551788,1.48487317466678,0.35814989140976,-0.235701448796228,-0.527558605667803
89,0.494444444444444,0.815071783552067,1.81656813478386,1.50805784215121,0.356832883501327,-0.238627878514076,-0.519471657468617
90,0.499999999999999,0.825187832130013,1.82480624299725,1.53257424348149,0.355499455007919,-0.241509979469638,-0.511160493560496
91,0.505555555555555,0.835347455804555,1.83317442575141,1.55850363969236,0.354149638488577,-0.244345766751383,-0.502620351311689
92,0.51111111111111,0.845552364798705,1.84169006569398,1.58590921524564,0.352783954173014,-0.247133156823272,-0.493851373674409
93,0.516666666666666,0.855804618737865,1.85036920138411,1.61484945271383,0.351403013408251,-0.249869454356769,-0.484853368135726
94,0.522222222222221,0.866104371771461,1.85922216823929,1.64538779511585,0.350006998981532,-0.252552632769802,-0.475621253481662
95,0.527777777777777,0.876452082142283,1.86826116677925,1.67757504971806,0.348595928570603,-0.255182105904973,-0.466151164714016
96,0.533333333333332,0.886851314721984,1.87749712368682,1.71144696346815,0.347170322126999,-0.257757233923221,-0.456439790572021
97,0.538888888888888,0.89730053224563,1.88694345521945,1.74705255189704,0.345730034234104,-0.260276033148245,-0.44648077317139
98,0.544444444444444,0.907800872534898,1.89661658182622,1.78442264115103,0.344275538061484,-0.262736322057102,-0.436270518684133
99,0.549999999999999,0.91835513999438,1.90652576470664,1.82357206933247,0.342807402900594,-0.265136644081428,-0.425810158377391
